Name:,Dotabuff:,MMR:,Buck's Bucks,Remaining:
KatieThree,https://www.dotabuff.com/players/111747192,3000,623,27
Cerys,https://www.dotabuff.com/players/83833103,3200,612,1
Amane,https://www.dotabuff.com/players/178284854,3570,591,3
Mooshack,https://www.dotabuff.com/players/41807270,3610,588,2
Sharingan,https://www.dotabuff.com/players/141129174,3680,584,2
phattywhale,https://www.dotabuff.com/players/134263854,3970,566,3
2centz,https://www.dotabuff.com/players/971475960,4400,537,4
ForTheSwarm,https://www.dotabuff.com/players/64741231,4590,524,4
andrewbk,https://www.dotabuff.com/players/26595816,4600,523,4
CRAP,https://www.dotabuff.com/players/42291565,4640,520,4
Vuvuzela Virtuoso Hans Rudolph,https://www.dotabuff.com/players/54432298,4840,506,36
wheres the leak mam,https://www.dotabuff.com/players/130527149,4850,505,5
itachi,https://www.dotabuff.com/players/466360314,5400,463,30
shadonra,https://www.dotabuff.com/players/92001890,5600,447,6
Polo5885,https://www.dotabuff.com/players/109428465,5770,432,6
Simple,https://www.dotabuff.com/players/351936929,5894,422,7
Tokyo,https://www.dotabuff.com/players/126604881,5960,416,-92
PK.gronaldo44,https://www.dotabuff.com/players/115917506,6750,345,8
shirona,https://www.dotabuff.com/players/91703580,6990,323,9
UltraGunner,https://www.dotabuff.com/players/106670947,7000,322,9
