Name:,Dotabuff:,MMR:,Buck's Bucks,Crub Cents,Remaining:
[PDF] Saltpork,https://www.dotabuff.com/players/108686019,1870,593,620,0
TheMantis,https://www.dotabuff.com/players/111747192,2000,587,616,67
Nifuji,https://www.dotabuff.com/players/97494113,3050,541,570,0
BoX,https://www.dotabuff.com/players/108843799,3390,526,550,0
Rhyzerz,https://www.dotabuff.com/players/185316487,3520,521,542,0
Mooshack,https://www.dotabuff.com/players/41807270,3860,506,519,0
redground,https://www.dotabuff.com/players/362793631,4220,490,492,0
FJFJFJJ,https://www.dotabuff.com/players/136477138,4300,486,485,0
toth,https://www.dotabuff.com/players/102946451,4370,483,480,-1
robE1337,https://www.dotabuff.com/players/110994660,4530,476,466,0
ZombieExpert,https://www.dotabuff.com/players/54432298,4610,473,459,0
Vuvuzela Virtuoso Hans Rudolph,https://www.dotabuff.com/players/65495278,5200,447,404,0
SMACK,https://www.dotabuff.com/players/157808123,5300,443,394,0
shadonra,https://www.dotabuff.com/players/92001890,5400,438,384,-1
yfu,https://www.dotabuff.com/players/91703580,6600,386,244,0
PK.gronaldo44,https://www.dotabuff.com/players/115917506,7140,360,171,12
