Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
Reedy,382,AcidRain,https://www.dotabuff.com/players/104011648,7625,5,1,4,5,3,i will only play carry this season
Ferris Euler,346,Polo5885,https://www.dotabuff.com/players/109428465,7575,5,5,5,5,5,MR POLO FRESH OFF HIS SEASON FREE OF GRIEF
ZombiesExpert ,363,Zewqew,https://www.dotabuff.com/players/79089948,6925,5,4,1,1,1,Strongly prefer to play mid (Please no grief) Al
Pneuma,322,FN,https://www.dotabuff.com/players/73665843,6786,5,1,1,1,1,"playing for fun, washed, 1 hero molecule of water, i dont draft much, my mmr is inflated, havent played much this year but will start again soon

old acc https://www.dotabuff.com/players/50050664"
TheMantis,260,big lou,https://www.dotabuff.com/players/188649776,6249,4,5,2,1,1,"Yeah, im him - big lou as hes blinking in and throwing the game away. pos 2/1 want to try drafting"
ShadowAce,201,Beach Jeans,https://www.dotabuff.com/players/87336063,6000,3,2,4,4,4,"You won't have to listen, but legally you can't stop my scat jazz."
MGHappyhobo,172,Ratman,https://www.dotabuff.com/players/171871486,5946,1,1,3,5,5,
TheMantis,301,keshi,https://www.dotabuff.com/players/198514853,5906,4,5,1,1,1,
Tazerface,175,Jotatoe,https://www.dotabuff.com/players/85872822,5809,1,4,2,4,4,"Just tryna friend stack.
Been playing on: https://www.dotabuff.com/players/311790208"
tokyo/mokyo,150,dog,https://www.dotabuff.com/players/904350779,5650,5,5,5,5,5,"AYY I TELL HER ITS OVER ITS OVER
I DONE GLOWED UP I DONE GROWN UP
IM GOIN THROUGH THE MOTIONS
SHE HATE IT WHEN IM GOING THROUGH THE MOTIONS
SAID ITS OVER ITS OVER ITS OVER"
2centz,147,PiNGdingDONG,https://www.dotabuff.com/players/332242377,5632,1,1,1,5,4,"dropped from 6k to 5.6k then lost grandfinals  cuz simple ditched me andI had to play wit feelsbadman, I only play support :)"
Mooshack,196,redground,https://www.dotabuff.com/players/362793631,5627,5,1,1,1,1,"Little less active probably this season, my mid is pretty bad unless you want me on random memey stuff, and then it's still bad. I like drafting, but not shotcalling typically. Would 100% enjoy just chilling though and letting someone else draft, won't judge your legend drafts either."
Mooshack,95,yolksoup,https://www.dotabuff.com/players/112220059,5600,5,1,1,2,2,"Pos 1 run, am valued lower as an off role immortal player and even so anti value. Do not draft me for support or else I babyrage"
CRAP,250,Smacktrickz,https://www.dotabuff.com/players/157808123,5600,1,3,5,1,1,IM BACK AND MIGHT MISS A FEW WEEKS
Nifuji,247,SkinnyBear,https://www.dotabuff.com/players/99929152,5422,3,5,5,2,2,Prefer pos 2 or 3.
ShadowAce,165,Tokc,https://www.dotabuff.com/players/96895570,5300,5,1,1,2,1,"Retired Offrole player. Pos 1 please. If offrole, I only play pudge or agility carry heroes in offrole."
CRAP,200,mid or courier adventure,https://www.dotabuff.com/players/92001890,5300,4,5,4,2,2,very washed
Reedy,81,ExO,https://www.dotabuff.com/players/45626568,5251,1,1,2,5,5,"Support player, don't pick me to play core or you will have a bad time."
Vuvuzela Virtuoso Hans Rudolph,88,ß r ¡ N x,https://www.dotabuff.com/players/411532299,5200,2,4,4,4,4,"I play for fun, and I have decent experience in tournaments since dota 1. ive been on and off but I can for sure play. "
2centz,176,DoomCow33,https://www.dotabuff.com/players/172199571,5191,5,5,5,5,5,PL is a bad hero. Banning bad heroes is cringe
tokyo/mokyo,90,Snow,https://www.dotabuff.com/players/84157389,5100,4,3,5,4,3,"n pubs sure, in this team definitely not. I do reflect and try to optimize in the moment which can be nitpicky. But overall my value is more so as a team player and leader. Much like how many consider PPD toxic but he has many supporters. My prep and strategic thinking proved useful and interestingly culminated with beating PPD in TI7 OQ.

You yourself said you picked me because I effectively coached the Ad2L team to #1 seed"
Mooshack,186,Littletimmy,https://www.dotabuff.com/players/171096094,5028,5,3,3,3,3,"HC but can play anything, wanted to captain but I don't have the time to do it the way I want so ill just play, I like talking about drafts.  maybe I can't be there for all the games"
