Name:,Dotabuff:,MMR:,Buck's Bucks,Crub Cents,Remaining:
BENNY,https://www.dotabuff.com/players/379849815,7515,352,312,66
Predict,https://www.dotabuff.com/players/45285344,3829,559,588,0
Yop,https://www.dotabuff.com/players/89699373,4751,507,545,0
Clare ❤ Teresa,https://www.dotabuff.com/players/102264839,5193,482,519,0
Tokc,https://www.dotabuff.com/players/96895570,5205,482,518,0
AllRoundGoodGuy,https://www.dotabuff.com/players/167829403,5220,481,517,0
Empty Cloud,https://www.dotabuff.com/players/120052382,5538,463,495,25
redground,https://www.dotabuff.com/players/362793631,7401,359,324,0
slowz-,https://www.dotabuff.com/players/170288961,6641,401,403,0
Zewqew,https://www.dotabuff.com/players/79089948,6946,384,373,0
