Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
,,slowz-,https://www.dotabuff.com/players/170288961,6641,5,5,5,5,5,i sometimes hate the french
,,ZombiesExpert,https://www.dotabuff.com/players/119224130,6067,1,1,2,1,1,extremely washed. Valorant main.
,,DoomCow33,https://www.dotabuff.com/players/172199571,5841,5,5,5,5,5,Man i can't believe how anti-value this DoomCow guys is. Why do we keep letting an obvious account buyer signup for this league every 4 months? Like seriously what the fuck is wrong with admins. Do they unironically think this braindead idiot could hit immortal without paying for boosting? Another signup another season the admins continue to let the league rot. Please don't let him captain and extra gief four other players.
,,Treebeard,https://www.dotabuff.com/players/95576973,5600,1,1,2,1,2,Cev + Tree 📦 deal
,,Tokc,https://www.dotabuff.com/players/96895570,5600,1,1,1,1,1,La Matriarca L’amore dice ciao c’est la vie mon cherie
,,Nasty,https://www.dotabuff.com/players/159164400,5560,3,1,5,3,5,goofy heroes ONLY
,,Empty Cloud,https://www.dotabuff.com/players/120052382,5538,3,5,2,5,2,https://www.youtube.com/watch?v=qrP4oey2_ys
,,Wii Sports Master,https://www.dotabuff.com/players/119541084,5460,4,5,1,2,2,uhhh uhuhhghghhhh ummm heh uh yeah
,,George,https://www.dotabuff.com/players/240889153,5300,5,3,5,5,2,You're only going to get value out of me if you 3rd round pick me.
,,TheKloost,https://www.dotabuff.com/players/153864932,5217,3,2,5,5,4,"Please don't draft me if you're a tilter. Last season was my first time in this division and it was a lot of fun. Didn't play Juicy's team though. Still sad about that. Draft me for whatever you want me to be playing/ Pref 3-4
https://www.dotabuff.com/players/153864932"
,,ExO,https://www.dotabuff.com/players/45626568,5166,1,1,1,5,5,
,,Xentavious,https://www.dotabuff.com/players/83845896,5089,2,2,2,1,5,"boosted by double downs, I suck at everything besides pos 5 god bless"
,,Nameless 💀,https://www.dotabuff.com/players/67028556,5075,3,1,5,5,4,"👈(ﾟヮﾟ👈)

looking to play 3 first, 4/5 second. Will flex to 1 if needed. Don't draft me for 2.

(👉ﾟヮﾟ)👉"
,,solace :3,https://www.dotabuff.com/players/170273113,5012,2,4,1,3,3,hello! dotabuff: https://www.dotabuff.com/players/170273113. i play mostly pos 2 but can do 4 or 5. look forward to playing with you all!
,,AwfulWaffLE,https://www.dotabuff.com/players/64041417,4959,1,2,2,4,5,
,,ButteryGreg,https://www.dotabuff.com/players/47669091,4600,5,3,1,3,3,please see my pst-wed signup for more information
,,phattywhale,https://www.dotabuff.com/players/134263854,4560,5,3,4,2,2,Highly motivated gamer pick me and have fun time playing DOTA2. Best on any core role
,,mr. world wide,https://www.dotabuff.com/players/94560711,4406,4,2,4,2,3,"picture that with a kodak. mr 305 plays 1,3,5"
,,Ez.Sky,https://www.dotabuff.com/players/181114719,4195,3,2,5,2,1,
,,Osis,https://www.dotabuff.com/players/75864841,4158,4,4,5,4,4,I drink your milkshake (pos3/flex player)
,,BMartinez54,https://www.dotabuff.com/players/213476765,4158,5,2,3,4,4,rd2l season 32 as a carry
,,hanmingzyy,https://www.dotabuff.com/players/74883563,4124,2,5,3,2,3,Can pub or scrim with advanced notice
,,Durzo,https://www.dotabuff.com/players/90793653,4109,1,2,5,4,3,"https://www.dotabuff.com/players/90793653

I played pos 3 last season, which was my first time doing RD2L. I would be fine playing pos 4 as well."
,,Smashe,https://www.dotabuff.com/players/16710765,4077,3,4,5,2,2,"prefer 3, will play supp if i'm lowest mmr"
,,Cerys,https://www.dotabuff.com/players/83833103,3849,1,1,1,1,5,"I only play 5, and I don't play that many heroes. Low value, blah blah."
,,Bitemetwitch,https://www.dotabuff.com/players/118858955,3822,1,1,1,5,5,"Unofficial Official Caster of the RD2L & AD2L communities (proof https://www.youtube.com/channel/UCdQf2vkPiz6WTavIx5zM5Lg)
Willing to drop my rivalry with Hobo if he drafts me.
Willing to support
Statements from the community
""No all please"" Hobo 
""Would like to Co-cast with you"" Redground (never happened btw)
""I will have weaver PTSD for a while after that series"" Avro
""You need to be more greedy when playing support"" Halfcast / Emo"
,,Dream,https://www.dotabuff.com/players/58762087,3806,4,2,3,3,3,http://tcpm.mrlazyinc.com/files/images/games/memes/gsl_mvp_keen_celebrate_2.gif
,,Woh?,https://www.dotabuff.com/players/152985237,3679,1,1,1,2,3,Me + Chowmains = package deal
,,mediocre,https://www.dotabuff.com/players/45226038,3618,2,1,3,4,4,"I am may try to be a stand-in for the sunday est games, and regular-in for the pst sun/wednesday.
https://www.dotabuff.com/players/45226038

3.6k mmr at the moment https://i.imgur.com/ITQaPv9.png, mainly playing support positions"
,,MAPPO,https://www.dotabuff.com/players/123919855,3609,1,1,1,1,1,"1 hero per season, forced to play only Lion and Jakiro for the last 2 seasons. Hoping to play a new hero this season. Value pick if you can get me in $1. I will steal your creeps mid game (Tree can confirm)"
,,brocco lee,https://www.dotabuff.com/players/377555167,3526,4,1,5,3,3,
,,Okay,https://www.dotabuff.com/players/27676663,3361,1,1,2,4,5,Overly aggressive meme pos 4/5 player with little game time. Don't draft for >1 gold. Doesn't play well with sleepy carries that only hits creeps. If game exceeds >30 mins we fucking lost.
,,amateur chef,https://www.dotabuff.com/players/76424090,3299,2,2,5,3,2,"I'm Bryson. My talents include:
- competent laning
- not verbally abusing my teammates
- not giving up/checking out until the glowing building explodes

I'm most comfortable as an offlaner, but slap me into whatever role and I'll try my balls off.
I've got a few strange picks/builds that I'm extremely confident in, though I can be talked into more conventional decisions as well.
My schedule is relatively flexible/open, though I can't really commit to extremely long practice grinds either."
,,lazy hog,https://www.dotabuff.com/players/84881106,3000,2,2,2,5,4,"https://www.dotabuff.com/players/84881106
I would like to play position 4"
,,Ridin' heelies escapin' feelies,https://www.dotabuff.com/players/84060273,2580,1,1,4,4,4,Lick my nuts
,,Krenn,https://www.dotabuff.com/players/519770,1552,1,1,1,3,5,"So I tied a tango to my belt, which was the style at the time. Now, to use the side shop cost a nickel, and in those days, nickels had pictures of Roshan on 'em. Give me Roshans for a support, you'd say."
